restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
2765,Delhi's Essence,Quick Bites,3.6,60,500,Yes,No,North Indian,Electronic City,Electronic City
2766,Delhite Food,Quick Bites,3.4,9,300,Yes,No,North Indian,Sarjapur Road,Bellandur
2767,Delhiz Taste,Quick Bites,3.5,13,400,Yes,No,"North Indian, South Indian, Chinese",Kalyan Nagar,Nagawara
2768,Deli Chats & Sweets,Quick Bites,2.8,40,200,Yes,No,"Street Food, Mithai",Bellandur,Bellandur
2769,Deli Chats and Sweets,Quick Bites,4.1,39,200,Yes,No,"Street Food, Mithai",Bellandur,Marathahalli
2770,Deli Counter - Gateway Hotel,Dessert Parlor,3.5,6,500,No,No,Bakery,Brigade Road,Residency Road
2771,DeliBox.in,Delivery,3.7,67,150,Yes,No,South Indian,Bannerghatta Road,BTM
2772,Delicacy,Casual Dining,3.8,219,500,Yes,No,"Chinese, Thai, Momos",Marathahalli,CV Raman Nagar
2773,Delice - Novotel,"Dessert Parlor, Bakery",3.8,33,800,No,No,"Desserts, Bakery",Bellandur,Marathahalli
2774,Delices,Bakery,3.1,6,400,Yes,No,"Bakery, Desserts",Brigade Road,Ulsoor
